,taxid,count_star()
1085,374424,3
1086,1547515,3440
1087,745820,3459
1088,215578,725
1089,28445,5924
1090,865,7
1091,215691,3080
1092,57480,3570
1093,74314,3018
1094,82380,3812
1095,373386,4191
1096,2198,2476
1097,368454,3246
1098,1304,2212
1099,37919,3247
1100,1299998,2032
1101,165,2828
1102,33998,3751
1103,29363,3219
1104,68195,8
1105,223184,2320
1106,310780,7682
1107,1305,2269
1108,1780,5031
1109,76258,2981
1110,368811,1
1111,1945662,2745
1112,141949,2346
1113,74700,702
1114,298794,6434
1115,28077,6034
1116,56438,6851
1117,143224,4462
1118,279113,5385
1119,545,5019
1120,1076124,9064
1121,915173,1771
1122,1391627,6283
1123,92759,4359
1124,67316,6
1125,734,1927
1126,1841,5288
1127,221028,2
1128,1884,16
1129,1755582,3343
1130,40414,4
1131,52774,2571
1132,1751,8
1133,49280,3834
1134,656178,4733
1135,123783,3852
1136,159,2642
1137,28068,4686
1138,266009,2907
1139,1933,86
1140,28124,1965
1141,330919,40
1142,294710,1676
1143,240302,4080
1144,475083,4594
1145,247022,2
1146,179467,2971
1147,1067,1
1148,100176,2640
1149,930806,3121
1150,2117,2
1151,271156,2862
1152,1014,2045
1153,54005,1724
1154,43767,5029
1155,996,2617
1156,173676,4232
1157,517719,3828
1158,230470,3463
1159,216935,1071
1160,648995,5462
1161,1630136,2316
1162,95486,8115
1163,67274,87
1164,60547,7464
1165,179838,2962
1166,104955,1641
1167,71453,13
1168,1948,6
1169,702115,6024
1170,392010,2915
1171,37331,6174
1172,46189,2
1173,74031,3684
1174,324952,8507
1175,46187,2
1176,545864,7501
1177,1452,4201
1178,533325,3186
1179,180542,3406
1180,937334,2413
1181,163605,3
1182,88164,1
1183,318424,3
1184,158192,1
1185,31962,1
1186,53398,1
1187,34014,4
1188,1457,2
1189,470826,2655
1190,42906,154
1191,452922,1
1192,206506,3267
1193,331618,2621
1194,85698,6125
1195,1807,5830
1196,1906,6709
1197,33885,2765
1198,460,3471
1199,413712,3578
1200,46125,1943
1201,36834,3453
1202,910412,3293
1203,715784,4477
1204,1187852,5746
1205,1954,10060
1206,212,1596
1207,254,4509
1208,198482,2171
1209,2134,1251
1210,638574,2
1211,424796,3271
1212,29442,5999
1213,863,2357
1214,105420,7
1215,225326,2853
1216,1790,4763
1217,38746,2
1218,330920,2
1219,286804,3502
1220,431675,2388
1221,191960,3756
1222,68255,7629
1223,433924,4770
1224,1549889,6
1225,1783,5643
1226,43769,2520
1227,453959,9
1228,193460,30
1229,284044,5
1230,46158,8266
1231,1049199,3914
1232,332589,5
1233,474952,4295
1234,797419,3078
1235,36820,4613
1236,99655,3711
1237,531300,5397
1238,33074,2668
1239,63658,3
1240,216463,2398
1241,115551,4
1242,1094,1910
1243,36854,4000
1244,675,3270
1245,265883,2367
1246,271417,3943
1247,439219,2315
1248,2739,2859
1249,518643,1798
1250,81459,788
1251,267375,3722
1252,387090,3838
1253,99656,4150
1254,129847,6326
1255,110322,6001
1256,74329,3547
1257,1622,2270
1258,273677,2781
1259,36847,2804
1260,185139,3014
1261,259,5148
1262,444597,4200
1263,1231,2732
1264,46224,4209
1265,296,4903
1266,319705,267
1267,200450,5691
1268,2378,5251
1269,1528,2774
1270,83656,6478
1271,1587,2192
1272,252130,2319
1273,258505,6668
1274,145483,3133
1275,927,2353
1276,89051,4727
1277,33919,7179
1278,83564,6391
1279,88074,7521
1280,1005945,4410
1281,195105,3806
1282,484882,5902
1283,1799,5634
1284,34101,4288
1285,1804,5958
1286,28212,3413
1287,97478,1970
1288,296995,2
1289,588067,7018
1290,260364,3618
1291,1302730,3810
1292,823,3830
1293,350,3918
1294,43657,5008
1295,76759,5522
1296,405436,4874
1297,43768,2619
1298,1141657,7462
1299,266748,2848
1300,43661,4349
1301,1342794,5064
1302,319947,2
1303,28141,4421
1304,213588,2296
1305,1620215,2756
1306,1166078,4480
1307,667676,7930
1308,860221,3558
1309,47759,6978
1310,477641,5435
1311,2114,740
1312,659595,3326
1313,546874,3981
1314,1448271,4443
1315,216937,1104
1316,1519,3032
1317,51,9037
1318,323621,6305
1319,2337,1937
1320,1597,2708
1321,344882,3001
1322,507754,1715
1323,392421,4122
1324,2187,1661
1325,12915,2293
1326,2215,3478
1327,145262,1868
1328,109258,3262
1329,1938,7706
1330,55148,2652
1331,52242,1903
1332,63560,6
1333,225345,4771
1334,43667,3533
1335,161899,2559
1336,323423,2892
1337,942150,2684
1338,45248,2545
1339,755169,1
1340,622695,751
1341,615,5436
1342,1247,1682
1343,291644,4569
1344,1074467,2318
1345,1144750,3170
1346,69974,7979
1347,200451,5973
1348,576117,3717
1349,82347,1527
1350,81468,1872
1351,370959,3329
1352,690585,28
1353,396716,1536
1354,479978,6388
1355,546365,7420
1356,380021,6355
1357,61648,5403
1358,225992,2662
1359,1863,2311
1360,531938,9219
1361,936889,4371
1362,68209,6315
1363,42859,1
1364,1615,1304
1365,546023,3354
1366,126385,4032
1367,238,3466
1368,341199,3
1369,164393,1984
1370,33060,4164
1371,191577,3
1372,66427,4983
1373,1588,2791
1374,168471,3208
1375,817,4234
1376,306543,1
1377,1719,2001
1378,79329,7179
1379,44012,3781
1380,1550,7
1381,21,1
1382,187493,3634
1383,101070,1
1384,101564,4870
1385,320912,3912
1386,216874,701
1387,453581,2
1388,1652,1627
1389,56463,4115
1390,930114,3585
1391,197614,1864
1392,298,6155
1393,49341,2
1394,43776,3898
1395,157076,3027
1396,146826,2998
1397,270368,5633
1398,453220,4
1399,692487,1
1400,88132,1720
1401,53444,1407
1402,156892,1518
1403,254247,2580
1404,433644,3919
1405,148814,1332
1406,294,5750
1407,1129133,3825
1408,153494,2018
1409,87162,10
1410,1435342,2292
1411,373668,4747
1412,285560,6
1413,280473,4889
1414,468058,5038
1415,161358,2
1416,457575,3641
1417,69373,3428
1418,209274,951
1419,246786,3781
1420,28444,4
1421,568869,24
1422,59298,2
1423,560080,9
1424,1094342,1
1425,113653,1973
1426,424795,1
1427,687844,5
1428,1173302,1
1429,509199,2
1430,45465,3330
1431,68215,9
1432,244596,4185
1433,60520,3137
1434,104662,5570
1435,1653434,3054
1436,1494,2524
1437,292,8760
1438,328814,2563
1439,245187,3431
1440,150829,3457
1441,683125,3412
1442,1521930,1827
1443,64104,5884
1444,334543,2099
1445,1218495,1270
1446,1243002,5
1447,63,3396
1448,515414,3
1449,93063,3654
1450,140057,4009
1451,1428,6890
1452,446372,4607
1453,670154,3699
1454,701041,5434
1455,230143,1242
1456,120,4258
1457,386911,5175
1458,661,4552
1459,45363,601
1460,426129,4235
1461,1061,3632
1462,947835,1434
1463,398555,3260
1464,87458,2319
1465,189426,6962
1466,64972,4
1467,1098,2081
1468,399,6025
1469,176291,2398
1470,1416779,3663
1471,438033,12
1472,68173,6708
1473,1348852,4037
1474,1367882,8210
1475,1563222,4661
1476,1046128,4
1477,47858,5931
1478,1963,10549
1479,661491,4297
1480,187328,1513
1481,1610492,5129
1482,53376,4472
1483,59840,4803
1484,190897,14
1485,796334,17
1486,719,6
1487,480520,3534
1488,1402,4164
1489,209649,2339
1490,134821,568
1491,29459,321
1492,499555,3261
1493,412690,3119
1494,28119,2680
1495,1003110,5998
1496,173560,5480
1497,42566,3524
1498,166485,2351
1499,35622,5075
1500,279824,4321
1501,1052260,4569
1502,295255,3934
1503,1097,2250
1504,394193,9167
1505,253245,3471
1506,587,4771
1507,1031542,1515
1508,2001,8955
1509,2057,3471
1510,264636,1335
1511,693075,1566
1512,569857,2246
1513,189691,6810
1514,747645,1821
1515,762,2055
1516,28230,2184
1517,33007,1934
1518,416874,3502
1519,279262,8181
1520,225991,3527
1521,68190,5
1522,649756,2771
1523,1527,4029
1524,321983,5987
1525,29320,4533
1526,89153,3971
1527,216933,1000
1528,33950,19
1529,653931,4644
1530,201185,2
1531,863372,4917
1532,142877,3029
1533,572036,3561
1534,53461,5123
1535,127886,4345
1536,39492,2211
1537,83219,3649
1538,1510574,4895
1539,85401,62
1540,121734,3391
1541,1335309,4204
1542,45066,3441
1543,55604,3
1544,1356,2176
1545,34017,4696
1546,36807,2869
1547,474950,4259
1548,455432,8083
1549,1109412,4958
1550,1288,2825
1551,403935,5419
1552,933059,3845
1553,1286180,6031
1554,291990,2151
1555,444093,2138
1556,1437280,4631
1557,453840,3
1558,34073,6788
1559,49547,1968
1560,1095778,4046
1561,94694,1470
1562,53342,2571
1563,28232,3502
1564,200618,5032
1565,320778,4693
1566,470932,4190
1567,356852,5889
1568,1179467,2870
1569,35814,3556
1570,33,8606
1571,350814,3132
1572,276,2181
1573,154621,3510
1574,53371,4661
1575,369935,6
1576,225844,2
1577,429727,3103
1578,13689,4179
1579,1747,4111
1580,33900,7456
1581,58169,2
1582,682667,1
1583,1070421,1874
